Application,Server,Schema,Jobname,ScriptPath 
APP1,Server1,schema1,Extract1,C:/APP1/Extract1.bat
APP1,Server1,schema1,Convert1,C:/APP1/Convert1.bat
APP1,Server1,schema1,Load1,C:/APP1/Load1.bat
APP1,Server1,schema2,Extract2,C:/APP1/Extract2.bat
APP1,Server1,schema2,Convert2,C:/APP1/Convert2.bat
APP1,Server1,schema2,Load2,C:/APP1/Load2.bat
APP2,Server1,schema1,Extract3,C:/APP2/Extract3.bat
APP2,Server1,schema1,Convert3,C:/APP2/Convert3.bat
APP2,Server1,schema1,Load3,C:/APP2/Extract1.bat
APP3,Server1,schema5,Extract5,C:/APP3/Extract5.bat
APP3,Server1,schema5,Convert5,C:/APP3/Convert5.bat
APP3,Server1,schema5,Load5,C:/APP3/Load5.bat
